dataset,seed,method,success_rate,median_distance,median_runtime_ms
digits_0_vs_1,19,treesat_exact,0.5333333333333333,0.4850415030292539,0.05879999662283808
iris_binary,0,nearest_neighbor,1.0,2.66903001913023,0.011550000635907054
iris_binary,0,random_search,1.0,1.2250600857851317,0.3780999832088128
iris_binary,0,treesat_exact,1.0,0.7955189480126407,0.0668499997118488
iris_binary,1,nearest_neighbor,1.0,2.5590653483364583,0.010350006050430238
iris_binary,1,random_search,1.0,1.3100037068980561,0.33489998895674944
iris_binary,1,treesat_exact,0.3333333333333333,0.7880836663474179,0.058999998145736754
iris_binary,2,nearest_neighbor,1.0,2.5181632577841144,0.008549992344342172
iris_binary,2,random_search,1.0,1.1534522754629835,0.28500000189524144
iris_binary,2,treesat_exact,1.0,0.7156226203087855,0.049000009312294424
iris_binary,3,nearest_neighbor,1.0,2.5806665611454838,0.008100003469735384
iris_binary,3,random_search,1.0,0.9889243988270797,0.2759000053629279
iris_binary,3,treesat_exact,1.0,0.7630260757401993,0.04675000673159957
iris_binary,4,nearest_neighbor,1.0,2.7805157839634362,0.008200004231184721
iris_binary,4,random_search,0.9333333333333333,1.348651817805398,0.27415000658947974
iris_binary,4,treesat_exact,1.0,1.1060372536171734,0.04740001168102026
iris_binary,5,nearest_neighbor,1.0,2.7016820267927883,0.008850009180605412
iris_binary,5,random_search,1.0,1.1723471447501659,0.2862999972421676
iris_binary,5,treesat_exact,1.0,0.7875403935159714,0.05140001303516328
iris_binary,6,nearest_neighbor,1.0,2.7296249665768517,0.008749993867240846
iris_binary,6,random_search,1.0,1.0157825372173372,0.28469999961089343
iris_binary,6,treesat_exact,1.0,0.8367238273179247,0.04855000588577241
iris_binary,7,nearest_neighbor,1.0,2.6418489770028137,0.008300004992634058
iris_binary,7,random_search,1.0,1.3225783143905538,0.2749499981291592
iris_binary,7,treesat_exact,1.0,0.9618758701163901,0.047850015107542276
iris_binary,8,nearest_neighbor,1.0,3.2790723751922175,0.009800001862458885
iris_binary,8,random_search,0.9666666666666667,1.4181362173932046,0.33039999834727496
iris_binary,8,treesat_exact,0.26666666666666666,0.5998077165158701,0.05954998778179288
iris_binary,9,nearest_neighbor,1.0,2.873618457516181,0.009399984264746308
iris_binary,9,random_search,0.9666666666666667,1.4169503421280618,0.2986999897984788
iris_binary,9,treesat_exact,0.3,0.543057653941453,0.05324999801814556
iris_binary,10,nearest_neighbor,1.0,2.9610957157599844,0.013450000551529229
iris_binary,10,random_search,1.0,1.3584179802661143,0.43864999315701425
iris_binary,10,treesat_exact,1.0,0.9128709373872874,0.07939999341033399
iris_binary,11,nearest_neighbor,1.0,2.599773243688494,0.008349990821443498
iris_binary,11,random_search,1.0,1.0196205045270772,0.2766999969026074
iris_binary,11,treesat_exact,0.4,0.786232995534366,0.050350005039945245
iris_binary,12,nearest_neighbor,1.0,2.7982593895485426,0.00825000461190939
iris_binary,12,random_search,1.0,1.2544859957862502,0.27650000993162394
iris_binary,12,treesat_exact,1.0,0.9221383759121449,0.048049987526610494
iris_binary,13,nearest_neighbor,1.0,2.4735439225120404,0.010100004146806896
iris_binary,13,random_search,1.0,1.1114450398956008,0.31805000617168844
iris_binary,13,treesat_exact,0.3333333333333333,0.7186415397948974,0.05775000317953527
iris_binary,14,nearest_neighbor,1.0,2.707843999162543,0.008500006515532732
iris_binary,14,random_search,0.9666666666666667,1.0662150334236837,0.2844499977072701
iris_binary,14,treesat_exact,0.36666666666666664,0.7903489269977108,0.05015000351704657
iris_binary,15,nearest_neighbor,1.0,2.626870634825088,0.008650007657706738
iris_binary,15,random_search,1.0,1.012723970644462,0.28279999969527125
iris_binary,15,treesat_exact,0.43333333333333335,0.5288150410406957,0.05020000389777124
iris_binary,16,nearest_neighbor,1.0,2.7070570216621914,0.009149996913038194
iris_binary,16,random_search,0.9666666666666667,1.0915475035970883,0.28854999982286245
iris_binary,16,treesat_exact,1.0,0.7836827060163176,0.04990000161342323
iris_binary,17,nearest_neighbor,1.0,2.3694516314141483,0.008800008799880743
iris_binary,17,random_search,1.0,1.1797072820356096,0.284350011497736
iris_binary,17,treesat_exact,1.0,0.9777649677479071,0.05025000427849591
iris_binary,18,nearest_neighbor,1.0,2.791027329324165,0.009300012607127428
iris_binary,18,random_search,1.0,1.1766986723389414,0.2997999981744215
iris_binary,18,treesat_exact,0.3,0.6640655143789526,0.05304999649524689
iris_binary,19,nearest_neighbor,1.0,2.850631707921307,0.008500006515532732
iris_binary,19,random_search,1.0,1.2853773254926428,0.28560000646393746
