dataset,seed,query_id,method,runtime_ms,distance_l2,success
breast_cancer,3,3,treesat_exact,0.16369999866583385,1.8563835756745128,1
breast_cancer,3,3,nearest_neighbor,0.017500000467407517,4.261562426503132,1
breast_cancer,3,3,random_search,0.3689999994094251,5.2155190082941605,1
breast_cancer,3,4,treesat_exact,0.05850000161444768,0.6622974846905593,1
breast_cancer,3,4,nearest_neighbor,0.017700000171316788,3.265795809551451,1
breast_cancer,3,4,random_search,0.3839999990304932,2.5624853380813715,1
breast_cancer,3,5,treesat_exact,0.08569999954488594,0.23013377326650566,1
breast_cancer,3,5,nearest_neighbor,0.017300000763498247,1.6627589378974703,1
breast_cancer,3,5,random_search,0.4315999995014863,0.607711557123757,1
breast_cancer,3,6,treesat_exact,0.06899999971210491,0.4928459258349047,1
breast_cancer,3,6,nearest_neighbor,0.015999999959603883,3.288152671696747,1
breast_cancer,3,6,random_search,0.4600000011123484,1.2952543523139428,1
breast_cancer,3,7,treesat_exact,0.06089999988034833,0.39994886783346517,1
breast_cancer,3,7,nearest_neighbor,0.014799999917158857,2.688727809575065,1
breast_cancer,3,7,random_search,0.4229000005580019,1.9790647304624227,1
breast_cancer,3,8,treesat_exact,0.08949999937613029,0.45727879654764353,1
breast_cancer,3,8,nearest_neighbor,0.01880000127130188,6.189343138827581,1
breast_cancer,3,8,random_search,0.5394999989221105,0.47061978138434307,1
breast_cancer,3,9,treesat_exact,0.07550000009359792,0.30353909356363856,1
breast_cancer,3,9,nearest_neighbor,0.0228000008064555,3.780353378806042,1
breast_cancer,3,9,random_search,0.43089999962830916,1.1285574367009428,1
breast_cancer,3,10,treesat_exact,0.06089999988034833,0.7580059217004999,1
breast_cancer,3,10,nearest_neighbor,0.015800000255694613,3.6213302239664706,1
breast_cancer,3,10,random_search,0.3851000001304783,2.2841222406804977,1
breast_cancer,3,11,treesat_exact,0.15410000014526304,0.9999383169675659,1
breast_cancer,3,11,nearest_neighbor,0.018200000340584666,2.129277333002649,1
breast_cancer,3,11,random_search,0.4200999992463039,0.20972377325705635,1
breast_cancer,3,12,treesat_exact,0.05579999924520962,0.04420240474304121,1
breast_cancer,3,12,nearest_neighbor,0.012999998943996616,4.351024000661194,1
breast_cancer,3,12,random_search,0.4036999998788815,0.21675528076978126,1
breast_cancer,3,13,treesat_exact,0.05760000021837186,0.5970103322976723,1
breast_cancer,3,13,nearest_neighbor,0.013900000340072438,3.4244388262370524,1
breast_cancer,3,13,random_search,0.392699999792967,1.7923858993989101,1
breast_cancer,3,14,treesat_exact,0.10740000107034575,1.222471032624173,1
breast_cancer,3,14,nearest_neighbor,0.0182999992830446,4.032912880765089,1
breast_cancer,3,14,random_search,0.36299999919719994,3.610045027569459,1
breast_cancer,3,15,treesat_exact,0.12650000098801684,0.7993071612267613,1
breast_cancer,3,15,nearest_neighbor,0.0166000008903211,1.9651885678757168,1
breast_cancer,3,15,random_search,0.38750000021536835,0.5201546434957346,1
breast_cancer,3,16,treesat_exact,0.07960000039020088,0.5648738075755506,1
breast_cancer,3,16,nearest_neighbor,0.01669999983278103,3.5409975485862444,1
breast_cancer,3,16,random_search,0.38080000012996607,0.7924667891022893,1
breast_cancer,3,17,treesat_exact,0.05400000009103678,0.3122549789969916,1
breast_cancer,3,17,nearest_neighbor,0.01340000017080456,2.6713524301345988,1
breast_cancer,3,17,random_search,0.37709999924118165,1.1412385031678944,1
breast_cancer,3,18,treesat_exact,0.22279999939200934,2.7300700922441576,1
breast_cancer,3,18,nearest_neighbor,0.016899999536690302,5.791086813426221,1
breast_cancer,3,18,random_search,0.3873000005114591,3.8958739495772226,1
breast_cancer,3,19,treesat_exact,0.05740000051446259,0.3002576005030112,1
breast_cancer,3,19,nearest_neighbor,0.014100000043981709,2.720713101384963,1
breast_cancer,3,19,random_search,0.7247000012284843,1.2219217153300197,1
