dataset,seed,query_id,noise_sigma,runtime_ms,success,distance_l2,clean_distance_l2,distance_inflation
breast_cancer,1,2,0.05,0.2767000114545226,1,0.5229636963738311,0.5009642059907823,1.0439142959116996
breast_cancer,1,2,0.1,0.24280001525767148,1,0.48357443392139654,0.5009642059907823,0.9652873960625727
breast_cancer,1,3,0.0,0.2547999902162701,1,0.9448195165469697,0.9448195165469697,1.0
breast_cancer,1,3,0.01,0.24739999207668006,1,0.9411853169333011,0.9448195165469697,0.996153551498438
breast_cancer,1,3,0.03,0.22360001457855105,1,1.0014948428419683,0.9448195165469697,1.0599853467275209
breast_cancer,1,3,0.05,0.222100003156811,1,0.9056255520971269,0.9448195165469697,0.9585169825946389
breast_cancer,1,3,0.1,0.21929998183622956,1,0.907364718164674,0.9448195165469697,0.9603577215263486
breast_cancer,1,4,0.0,0.20670000230893493,1,0.39896147092275547,0.39896147092275547,1.0
breast_cancer,1,4,0.01,0.20429998403415084,1,0.4029981554783054,0.39896147092275547,1.0101179809323781
breast_cancer,1,4,0.03,0.20149999181739986,1,0.36945871411178677,0.39896147092275547,0.926051112798607
breast_cancer,1,4,0.05,0.20149999181739986,1,0.3791419231715575,0.39896147092275547,0.9503221508950288
breast_cancer,1,4,0.1,0.19530000281520188,1,0.26427295163631903,0.39896147092275547,0.6624021889258724
breast_cancer,1,5,0.0,0.19079999765381217,1,0.27424792698065326,0.27424792698065326,1.0
breast_cancer,1,5,0.01,0.18629999249242246,1,0.27379468753605085,0.27424792698065326,0.9983473368437371
breast_cancer,1,5,0.03,0.19570000586099923,1,0.2721761865555664,0.27424792698065326,0.9924457389782458
breast_cancer,1,5,0.05,0.18429997726343572,1,0.23229586699383364,0.27424792698065326,0.8470287070218069
breast_cancer,1,5,0.1,0.18400000408291817,1,0.32384129126459194,0.27424792698065326,1.1808340534418598
breast_cancer,1,6,0.0,0.2928999892901629,1,0.5314588521081326,0.5314588521081326,1.0
breast_cancer,1,6,0.01,0.2103000006172806,1,0.5375998218856801,0.5314588521081326,1.0115549298937974
breast_cancer,1,6,0.03,0.18510001245886087,1,0.5084898773151689,0.5314588521081326,0.9567812734666986
breast_cancer,1,6,0.05,0.15929999062791467,1,0.4289500577034259,0.5314588521081326,0.8071180976700528
